yyyymm,Index,E12,PE,D12,Y,vwret_DK,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,vwret,CRSP_SPvwx
196712,65.06338792093821,3.1982470682871793,20.343452688845236,1.7165938783994734,0.026383407523834952,0.033017362909033086,0.525792445,0.0497,0.0619,0.0693,0.0556,0.01436111,0.0033,0.00295858,0.0192,0.0127,0.000270899,0.027079,0.025857
196801,62.486152129218375,3.2090907955566914,19.471606168244517,1.7184361864647713,0.027501072284161897,-0.035730518,0.556302384,0.05,0.0617,0.0684,0.0536,0.012854235,0.004,0.005899705,0.0328,0.0361,0.000483319,-0.041875,-0.043523
196802,60.142846465174195,3.352697693291876,17.93864283842496,1.7383586648018305,0.028903831,-0.031967812,0.566210589,0.0498,0.061,0.068,0.0542,0.01045081,0.0039,0.002932551,-0.0033,0.0037,0.000820445,-0.0269,-0.031973
196803,60.53419423441177,3.3875057062895366,17.86984273,1.7422476657838128,0.028781215110209566,0.006098879,0.566809807,0.0517,0.0611,0.0685,0.056,0.012677246,0.0038,0.002923977,-0.0212,-0.0197,0.001395481,0.009696,0.008585
196804,66.38384364,3.4150643139846717,19.438533957926147,1.746446890527569,0.026308312307232688,0.09266905,0.522352064,0.0538,0.0621,0.0697,0.0547,0.008140239,0.0043,0.002915452,0.0227,0.0048,0.001607575,0.084092,0.082642
196805,68.09235214870621,3.4681269197013678,19.633754394020126,1.7875450599907372,0.026251774297456128,0.026145264838156542,0.53003337,0.0566,0.0627,0.0703,0.0547,0.010646501,0.0045,0.002906977,0.0043,0.0032,0.000386531,0.016374,0.011104
196806,68.72261652620526,3.5115228868324935,19.57060191289121,1.785865789182778,0.02598658,0.011479279402087008,0.530741813,0.0552,0.0628,0.0707,0.0534,0.012090181,0.0043,0.005797101,0.023,0.0122,0.000499505,0.009916,0.008695
196807,67.10327045880256,3.5462610929551577,18.92225888051697,1.793544547397235,0.026728124,-0.022397621,0.539637599,0.0531,0.0624,0.0698,0.0517,0.013885528,0.0048,0.005763689,0.0289,0.0341,0.000756619,-0.017444,-0.018664
196808,68.08272478893845,3.5994982053708897,18.914504440466377,1.7597100518277613,0.025846645493155487,0.017719466870896792,0.5318021,0.0509,0.0602,0.0682,0.052,0.018035138,0.0042,0.00286533,-0.0003,0.0206,0.000316403,0.016415,0.011259
196809,71.01829333793751,3.669263739032472,19.354916514304293,1.7610005748881734,0.024796436131019478,0.044036887947413374,0.509195439,0.0519,0.0597,0.0679,0.0531,0.018287123,0.0043,0.002857143,-0.0102,-0.0053,0.000268232,0.039351,0.03821
196810,71.43893405533731,3.6952608730827983,19.332582058202256,1.7691005050419095,0.024763814,0.008718556,0.500320247,0.0535,0.0609,0.0684,0.0543,0.019410182,0.0044,0.005698006,-0.0132,-0.016,0.000268403,0.008587,0.006751
196811,75.42518728549265,3.7423674009621766,20.154404740192145,1.771842963336326,0.023491396270979147,0.058970241,0.483717059,0.0545,0.0619,0.0701,0.0566,0.021188786,0.0042,0.002832861,-0.0269,-0.0226,0.000262966,0.05358,0.048659
196812,74.78948261960669,3.788770771169167,19.739775018515463,1.812879155426948,0.024239760617780857,-0.035304394,0.504900662,0.0596,0.0645,0.0723,0.0598,0.031961447,0.0043,0.002824859,-0.0363,-0.0233,0.000333975,-0.040826,-0.042141
196901,74.06203167774686,3.808389228088404,19.447075191660964,1.8171111993088886,0.024534989901645776,-0.007716818,0.503673167,0.0614,0.0659,0.0732,0.0617,0.036524492,0.0053,0.002816901,-0.0206,0.0139,0.00060677,-0.007547,-0.008612
196902,69.68031143866854,3.9100233907739845,17.82094491,1.8773982658189425,0.026943023460384467,-0.051948253,0.52639719,0.0612,0.0666,0.073,0.0618,0.041317329,0.0046,0.005617978,0.0042,-0.016,0.000595596,-0.042321,-0.047384
196903,71.9315414,3.943066808,18.242536811323788,1.8787269151697095,0.026118262984457612,0.031670616,0.557040236,0.0602,0.0685,0.0751,0.062,0.039508004,0.0046,0.008379888,0.001,-0.02,0.000541631,0.034847,0.033599
196904,73.05905446473166,3.9490088154627396,18.500605564277702,1.8704859483391476,0.025602383743442796,0.020423463011578432,0.548422404,0.0611,0.0689,0.0754,0.0593,0.044290952,0.0053,0.005540166,0.0427,0.0335,0.000550412,0.022771,0.021449
196905,73.00288736983609,3.9844889910585124,18.321769123634162,1.8821342805584278,0.025781642,0.003718476,0.555804429,0.0604,0.0679,0.0752,0.0635,0.044005646,0.0048,0.002754821,-0.049,-0.0227,0.000426897,0.003854,-0.001862
196906,67.95446319079878,4.000625981716564,16.985957572979938,1.900692810810668,0.027970095289753198,-0.064576445,0.596777334,0.0644,0.0698,0.077,0.0623,0.04515276,0.0051,0.005494506,0.0214,0.0035,0.000752237,-0.054357,-0.055686
196907,63.308602871838104,3.995052988118185,15.846749232144417,1.8938946785533155,0.029915282,-0.0647128,0.63901799,0.07,0.0708,0.0784,0.0621,0.051160886,0.0053,0.005464481,0.0079,0.0005,0.00230565,-0.058632,-0.059919
196908,66.39783646797434,4.013726577585929,16.542690485884957,1.9002957652727792,0.028619844656976867,0.051676689,0.622788986,0.0698,0.0697,0.0786,0.063,0.046914753,0.005,0.005434783,-0.0069,-0.002,0.000918234,0.045728,0.04018
196909,64.74454683292275,4.029793195507417,16.066468846367275,1.9005616757343586,0.029354776096261418,-0.02374173,0.640888463,0.0709,0.0714,0.0805,0.0677,0.048391224,0.0062,0.002702703,-0.0531,-0.0244,0.000891588,-0.023941,-0.025285
196910,68.37867665,4.0180294369394325,17.01796308823395,1.902269248589062,0.027819626554889954,0.05624012,0.608768794,0.07,0.0733,0.0822,0.0653,0.048630281,0.006,0.005390836,0.0365,0.0127,0.000753723,0.0469,0.044661
196911,65.71969364800572,4.103660601345292,16.014895000444483,1.9105038926440765,0.029070492976986835,-0.032815231,0.641511757,0.0724,0.0735,0.0825,0.0676,0.047904009,0.0052,0.00536193,-0.0243,-0.0471,0.000509136,-0.029152,-0.034433
196912,65.49425629,4.095544733185161,15.99158611502588,1.9303966165267736,0.029474288676832903,-0.019581768,0.651082013,0.0782,0.0772,0.0865,0.0687,0.034273783,0.0064,0.005333333,-0.0068,-0.0134,0.001163555,-0.016922,-0.018365
197001,60.30397732101852,4.070286157358143,14.815660371200874,1.9261209864437223,0.031940198176155565,-0.074371779,0.700346746,0.0787,0.0791,0.0886,0.0693,0.034473208,0.006,0.00265252,-0.0021,0.0141,0.001067097,-0.075398,-0.076809
197002,63.50786059234371,4.068799375663144,15.60850136091879,1.932542442,0.030429972346472347,0.058079885,0.670147507,0.0713,0.0793,0.0878,0.0651,0.035855217,0.0062,0.005291005,0.0587,0.0401,0.001058712,0.059521,0.053615
197003,62.96963529881356,4.049021948411979,15.551813771597402,1.9293530432990553,0.030639419,-0.003556469,0.690326769,0.0663,0.0784,0.0863,0.0661,0.035841581,0.0057,0.005263158,-0.0068,-0.0045,0.000963539,0.002806,0.001232
197004,56.12739737718938,4.003173828091613,14.02072450197506,1.9346834506212782,0.034469502,-0.103404722,0.736750581,0.0651,0.0783,0.087,0.0699,0.035712125,0.005,0.007853403,-0.0413,-0.025,0.001614677,-0.088831,-0.090035
197005,52.23397530181597,3.978222911601133,13.129976992866176,1.9338419406811818,0.037022684,-0.062633953,0.774227628,0.0684,0.0811,0.0898,0.0743,0.038661028,0.0053,0.002597403,-0.0468,-0.0163,0.008151854,-0.054689,-0.061112
197006,49.54515070970811,3.947248458908544,12.551819634735603,1.931916202963355,0.038993043219965544,-0.051356116,0.793381417,0.0668,0.0848,0.0925,0.0709,0.042290748,0.0058,0.005181347,0.0486,0.0001,0.002651911,-0.049032,-0.050902
197007,52.96849507969691,3.915829367798891,13.526762814353882,1.9178221404586413,0.036206846,0.074514342,0.738707568,0.0645,0.0844,0.094,0.0687,0.043073822,0.0052,0.005154639,0.0319,0.0556,0.002126476,0.075523,0.073219
197008,55.47707463150895,3.893814258,14.247488697262032,1.9225527380874081,0.034654905,0.050726524,0.709278297,0.0641,0.0813,0.0944,0.0694,0.038729253,0.0053,0,-0.0019,0.01,0.001887104,0.049778,0.043782
